Ref,Val,Package,PosX,PosY,Rot,Side
"R88","33.2K","R_0402_1005Metric",79.390000,15.440000,0.000000,top
"R89","10K","R_0402_1005Metric",77.232000,15.440000,0.000000,top
"R102","5.1K","R_0402",4.850000,74.905000,180.000000,top
"REF**","HPM Logo","HPM LOGO",8.110319,34.514539,90.000000,top
"SW1","轻触开关4.5mm*4.5mm*4mm","KEY_4.5mm",55.138900,7.338900,90.000000,top
"SW2","拨码开关","拨码开关2.54mm",47.390000,8.400000,-90.000000,top
"U1","HPM6800","BGA_417",35.275000,37.645000,0.000000,top
"U2","PRTR5V0U2X","PRTR5V0U2X",75.655000,57.070000,-90.000000,top
"U4","W972GG6KB","FBGA-84",57.875000,36.365000,0.000000,top
"U6","AZ432ANTR-E1","SOT-23",36.564450,10.993800,0.000000,top
"U7","TPS564201DDCR","SOT-23-6",77.940000,11.842000,-90.000000,top
"U8","MX25L12833FM2I-10G","SOIC8_208mil",33.680000,73.445000,180.000000,top
"U9","LP5907MFX-1.8/NOPB","SOT-23-5",53.869702,67.561900,-90.000000,top
"U10","IS21ES04G-JCLI","BGA153",4.689700,68.248800,-90.000000,top
"U11","CH340E","MSOP-10",73.930000,53.470000,0.000000,top
"U13","PRTR5V0U2X","PRTR5V0U2X",73.830000,68.240000,-90.000000,top
"U14","AP2151WG-7","SOT-23-5",64.305000,77.620000,0.000000,top
"U16","SY8104ADC","SOT-23-6",62.370000,69.020000,0.000000,top
